['52923', 2]
['52929', 101]
['52930', 89]
['52931', 6]
['52932', 6]
['52933', 6]
['52935', 6]
['52928', 8]
['52936', 9]
['52950', 5]
['52957', 6]
['52956', 5]
['52965', 6]
['52970', 5]
['52971', 5]
['52839', 2]
['52841', 3]
['52837', 5]
['52976', 5]
['52977', 63]
['52978', 10]
['52979', 9]
['52980', 37]
['52981', 12]
['52982', 31]
['52983', 6]
['52838', 22]
['52922', 2]
['52925', 2]
['52927', 2]
['52924', 2]
['52926', 2]
['52921', 1]
['53051', 6]
['53053', 23]
['53054', 24]
['53055', 130]
['53056', 4]
['53057', 25]
['53059', 12]
['53062', 5]
['53063', 5]
['53064', 5]
['53052', 22]
['53068', 59]
['53069', 4]
['53070', 11]
['52842', 5]
['53072', 11]
['52840', 11]
['53073', 6]
['53074', 9]
['53075', 19]
['53076', 7]
['53084', 4]
['53083', 5]
['52233', 6]
['53099', 13]
['53100', 261]
['53101', 4]
['53102', 30]
['53106', 12]
['53107', 277]
['53108', 4]
['53109', 4]
['53110', 12]
['53111', 11]
['53114', 6]
['53127', 13]
['53129', 4]
['53130', 4]
['53131', 4]
['53132', 4]
['53133', 4]
['53137', 10]
['53138', 3]
['53139', 4]
['53140', 4]
['53141', 4]
['53142', 4]
['53143', 4]
['53144', 4]
['53146', 4]
['53147', 4]
['53148', 4]
['53149', 4]
['53150', 4]
['53128', 3]
['53151', 3]
['53152', 5]
['53158', 4]
['53156', 5]
['53181', 4]
['53184', 5]
['53190', 5]
['53282', 5]
['53283', 13]
['53294', 16]
['53370', 12]
['53372', 3]
['53413', 3]
['53412', 465]
['53414', 4]
['53415', 25]
['52233', 2]
['53470', 2]
['53469', 3]
['53470', 2]
['53412', 3]
['53469', 1]
['53415', 1]
['53414', 2]
['53536', 3]
['53535', 7]
['53540', 17]
['53539', 116]
['53548', 31]
['53549', 40]
['53550', 6]
['53553', 30]
['53554', 36]
['53555', 29]
['53556', 37]
['53557', 15]
['53560', 51]
['53561', 19]
['53562', 15]
['53563', 21]
['53564', 29]
['53565', 23]
['53566', 6]
['53567', 30]
['53568', 5]
['53569', 7]
['53570', 6]
['53571', 9]
['53572', 13]
['53573', 6]
['53574', 17]
['53578', 23]
['53577', 7]
['53584', 20]
['53585', 14]
['53586', 11]
['53587', 11]
['53588', 11]
['53589', 6]
['53590', 3]
['53591', 4]
['53594', 5]
['53595', 8]
['53597', 5]
['53598', 6]
['53599', 4]
['53600', 6]
['53602', 5]
['53603', 6]
['53604', 6]
['53605', 6]
['53606', 5]
['53607', 7]
['53608', 6]
['53609', 8]
['53610', 5]
['53611', 6]
['53612', 9]
['53613', 6]
['53614', 6]
['53615', 8]
['53616', 6]
['53617', 6]
['53618', 4]
['53619', 9]
['53623', 7]
['53624', 119]
['53625', 14]
['53626', 6]
['53645', 3]
['52233', 3]
