['53644', 3]
['53331', 5]
['53356', 55]
['53664', 16]
['53665', 7]
['53666', 10]
['53667', 7]
['53668', 776]
['53669', 10]
['53670', 10]
['53671', 3862]
['53672', 28]
['53279', 73]
['53673', 33]
['52906', 94]
['53663', 7]
['53646', 13]
['53647', 18]
['53651', 39]
['53650', 31]
['53652', 96]
['53653', 37]
['53679', 23]
['53681', 18]
['53520', 3]
['53682', 46]
['53683', 104]
['53684', 22]
['53660', 29]
['53583', 10]
['53593', 10]
['53592', 4]
['53433', 12]
['52186', 46]
['53658', 2]
['53485', 8]
['53662', 4]
['52588', 78]
['53332', 6]
['53534', 3]
['53551', 8]
['53686', 2]
['53685', 17]
['53687', 27]
['53688', 47]
['53693', 40]
['53694', 80]
['53695', 51]
['53696', 41]
['53661', 1]
['53699', 9]
['53659', 5]
['53514', 4]
['53700', 25]
['53701', 48]
['53702', 101]
['53703', 31]
['53704', 39]
['53705', 43]
['53712', 23]
['53715', 47]
['53717', 40]
['53719', 46]
['53720', 102]
['53721', 24]
['53725', 2]
['53724', 18]
['53726', 17]
['53727', 26]
['53728', 63]
['53733', 80]
['53734', 39]
['53735', 37]
['53736', 43]
['53739', 12]
['53740', 10]
['53741', 23]
['53742', 18]
['53746', 27]
['53749', 47]
['53751', 40]
['53752', 78]
['53753', 54]
['53754', 41]
['53756', 16]
['53755', 29]
['53757', 11]
['53758', 13]
['53759', 26]
['53762', 48]
['53764', 94]
['53766', 44]
['53768', 41]
['53770', 34]
['53771', 25]
['53772', 46]
['53777', 79]
['53778', 46]
['53779', 41]
['53780', 49]
['53787', 26]
['53788', 47]
['53789', 39]
['53790', 80]
['53791', 54]
['53792', 40]
['53795', 25]
['53796', 46]
['53803', 42]
['53804', 88]
['53805', 53]
['53806', 32]
['53807', 11]
['53808', 20]
['53809', 19]
['53810', 13]
['53811', 12]
['53812', 21]
['53814', 18]
['53813', 7]
['53815', 25]
['53816', 46]
['53821', 93]
['53822', 36]
['53823', 40]
['53824', 42]
['53827', 24]
['53828', 26]
['53829', 25]
['53830', 46]
['53837', 39]
['53838', 80]
['53839', 54]
['53840', 41]
['53845', 72]
['53846', 77]
['53847', 82]
['53848', 154]
['53849', 87]
['53843', 18]
['53855', 22]
['53856', 18]
['53857', 3542]
['53858', 12]
['53859', 13]
['53860', 30]
['53862', 37]
['53861', 151]
['53863', 25]
['53864', 150]
['53865', 14]
['53866', 37]
['53867', 27]
['53868', 55]
['53871', 79]
['53873', 54]
['53874', 32]
['53869', 37]
['53877', 11]
['53878', 20]
['53879', 23]
['53881', 19]
['53880', 11]
['53884', 25]
['53886', 58]
['53888', 47]
['53889', 38]
['53890', 79]
['53891', 40]
['53894', 17]
['53895', 20]
['53901', 56]
['53903', 46]
['53905', 93]
['53906', 41]
['53907', 22]
['53900', 25]
['53908', 10]
['53909', 25]
['53910', 45]
['53916', 76]
['53917', 40]
['53919', 47]
['53920', 46]
['53921', 26]
['53928', 47]
['53929', 42]
['53930', 94]
['53931', 37]
['53932', 41]
['53933', 39]
['53934', 16]
['53935', 214]
['53936', 26]
['53937', 44]
['53938', 40]
['53939', 87]
['53940', 36]
['53941', 48]
['53946', 18]
['53947', 9]
['53948', 18]
['53949', 26]
['53950', 56]
['53953', 40]
['53954', 78]
['53955', 52]
['53957', 31]
['53959', 10]
['53960', 25]
['53961', 46]
['53962', 27]
['53963', 46]
['53968', 46]
['53969', 79]
['53970', 37]
['53971', 49]
['53973', 2]
['53972', 18]
['53974', 12]
['53975', 17]
['53977', 26]
['53979', 47]
['53982', 77]
['53983', 36]
['53984', 55]
['53985', 44]
['53986', 26]
['53989', 19]
['53992', 50]
['53993', 38]
['53994', 84]
['53995', 40]
['53996', 49]
['53999', 26]
['54001', 35]
['54003', 31]
['54004', 46]
['54005', 105]
['54006', 40]
['54008', 17]
['54007', 21]
['54011', 26]
['54013', 47]
['54015', 44]
['54016', 38]
['54017', 88]
['54018', 42]
['54021', 26]
['54023', 61]
['54025', 41]
['54026', 46]
['54027', 76]
['54028', 32]
['54029', 20]
['54030', 3]
['54033', 23]
['54035', 45]
['54037', 78]
['54038', 39]
['54039', 47]
['54040', 50]
['54043', 19]
['54044', 2]
['54045', 15]
['54046', 23]
['54053', 70]
['54054', 152]
['54055', 100]
['54056', 86]
['54057', 60]
['54064', 23]
['54065', 21]
['54066', 76]
['54067', 17]
['54068', 69]
['54069', 11]
['54070', 15]
['54071', 27]
['54072', 54]
['54073', 45]
['54074', 45]
['54075', 78]
['54076', 33]
['54081', 13]
['54083', 18]
['54082', 8]
['54084', 26]
['54085', 39]
['54088', 103]
['54089', 50]
['54090', 28]
['54091', 40]
['54094', 15]
['54095', 86]
['54096', 25]
['54097', 55]
['54100', 55]
['54103', 76]
['54104', 36]
['54105', 33]
['54106', 25]
['54107', 45]
['54112', 39]
['54113', 95]
['54114', 47]
['54115', 30]
['54116', 26]
['54117', 47]
['54118', 40]
['54119', 49]
['54120', 79]
['54121', 50]
['54126', 19]
['54127', 15]
['54130', 24]
['54131', 45]
['54133', 40]
['54134', 87]
['54135', 54]
['54136', 32]
['54139', 8]
['54138', 19]
['54140', 11]
['54141', 24]
['54142', 45]
['54147', 38]
['54148', 86]
['54149', 54]
['54150', 34]
['54151', 26]
['54152', 45]
['54155', 38]
['54156', 76]
['54157', 53]
['54160', 42]
['54161', 38]
['54162', 26]
['54167', 46]
['54168', 40]
['54169', 68]
['54170', 47]
['54171', 59]
['54172', 24]
['54173', 47]
['54178', 41]
['54179', 56]
['54180', 78]
['54181', 41]
['54182', 15]
['54183', 15]
['54184', 15]
['54186', 26]
['54187', 56]
['54189', 24]
['54190', 16]
['54191', 113]
['54192', 33]
['54197', 18]
['54198', 15]
['54200', 15]
['54199', 8]
['54205', 26]
['54206', 37]
['54208', 87]
['54209', 63]
['54210', 41]
['54211', 31]
['54213', 13]
['54214', 44]
['54219', 36]
['54220', 49]
['54221', 73]
['54222', 38]
['54223', 234]
