['59239', 78]
['61684', 1]
['61684', 1]
['61684', 2]
['61684', 2]
['61684', 3]
['61684', 3]
['61684', 4]
['61684', 4]
['61684', 5]
['61684', 5]
['61684', 6]
['61684', 6]
['61684', 7]
['61684', 7]
['61684', 8]
['61684', 8]
['61684', 9]
['61684', 9]
['61684', 10]
['61684', 10]
['61684', 11]
['61684', 11]
['61684', 12]
['61684', 12]
['61684', 13]
['61684', 13]
['61684', 14]
['61684', 14]
['61684', 15]
['61684', 15]
['61684', 16]
['61684', 16]
['61684', 17]
['61684', 17]
['61684', 18]
['61684', 18]
['61684', 19]
['61684', 19]
['61684', 20]
['61684', 20]
['61684', 21]
['61684', 21]
['61684', 22]
['61684', 22]
['61684', 23]
['61684', 23]
['61684', 24]
['61684', 24]
['61684', 25]
['61684', 25]
['61684', 26]
['61684', 26]
['61684', 27]
['61684', 27]
['61684', 28]
['61684', 28]
['61684', 29]
['61684', 29]
['61684', 30]
['61684', 30]
['61684', 31]
['61684', 31]
['61684', 32]
['61684', 32]
['61684', 33]
['61684', 33]
['61684', 34]
['61684', 34]
['61684', 35]
['61684', 35]
['61684', 36]
['61684', 36]
['61684', 37]
['61684', 37]
['61684', 37]
['61684', 38]
['61684', 39]
['61684', 39]
['61684', 40]
['61684', 40]
['61684', 41]
['61684', 41]
['61684', 42]
['61684', 42]
['61684', 43]
['61684', 43]
['61684', 44]
['61684', 44]
['61684', 45]
['61684', 45]
['61684', 46]
['61684', 46]
['61684', 47]
['61684', 47]
['61684', 48]
['61684', 48]
['61684', 49]
['61684', 49]
['61684', 50]
['61684', 50]
['61684', 51]
['61684', 51]
['61684', 52]
['61684', 52]
['61684', 53]
['61684', 53]
['61684', 54]
['61684', 54]
['61684', 55]
['61684', 55]
['61684', 56]
['61684', 56]
['61684', 57]
['61684', 57]
['61684', 58]
['61684', 58]
['61684', 59]
['61684', 59]
['61684', 60]
['61684', 60]
['61684', 61]
['61684', 61]
['61684', 62]
['61684', 62]
['61684', 63]
['61684', 63]
['61684', 64]
['61684', 64]
['61684', 65]
['61684', 65]
['61684', 66]
['61684', 66]
['61684', 67]
['61684', 67]
['61684', 68]
['61684', 68]
['61684', 69]
['61684', 69]
['61684', 70]
['61684', 70]
['61684', 71]
['61684', 71]
['61684', 72]
['61684', 72]
['61684', 73]
['61684', 73]
['61684', 74]
['61684', 74]
['61684', 75]
['61684', 75]
['61684', 75]
['61684', 76]
['61684', 77]
['61684', 77]
['61684', 78]
['61684', 78]
['61684', 79]
['61684', 79]
['61684', 80]
['61684', 80]
['61684', 81]
['61684', 81]
['61684', 82]
['61684', 82]
['61684', 83]
['61684', 83]
['61684', 84]
['61684', 84]
['61684', 85]
['61684', 85]
['61684', 86]
['61684', 86]
['61684', 87]
['61684', 87]
['61684', 88]
['61684', 88]
['61684', 89]
['61684', 89]
['61684', 90]
['61684', 90]
['61684', 91]
['61684', 91]
['61684', 92]
['61684', 92]
['61684', 93]
['61684', 93]
['61684', 94]
['61684', 94]
['61684', 95]
['61684', 95]
['61684', 96]
['61684', 96]
['61684', 97]
['61684', 97]
['61684', 98]
['61684', 98]
['61684', 99]
['61684', 99]
['61684', 100]
['61684', 100]
['61684', 101]
['61684', 101]
['61684', 102]
['61684', 102]
['61684', 103]
['61684', 103]
['61684', 104]
['61684', 104]
['61684', 105]
['61684', 105]
['61684', 106]
['61684', 106]
['61684', 107]
['61684', 107]
['61684', 108]
['61684', 108]
['61684', 109]
['61684', 109]
['61684', 110]
['61684', 110]
['61684', 111]
['61684', 111]
['61684', 112]
['61684', 112]
['61684', 113]
['61684', 113]
['61684', 114]
['61684', 114]
['61684', 115]
['61684', 115]
['61684', 116]
['61684', 116]
['61684', 117]
['61684', 117]
['61684', 117]
['61684', 118]
['61684', 119]
['61684', 119]
['61684', 120]
['61684', 120]
['61684', 121]
['61684', 121]
['61684', 122]
['61684', 122]
['61684', 123]
['61684', 123]
['61684', 124]
['61684', 124]
['61684', 125]
['61684', 125]
['61684', 126]
['61684', 126]
['61684', 127]
['61684', 127]
['61684', 128]
['61684', 128]
['61684', 129]
['61684', 129]
['61684', 130]
['61684', 130]
['61684', 131]
['61684', 131]
['61684', 132]
['61684', 132]
['61684', 133]
['61684', 133]
['61684', 134]
['61684', 134]
['61684', 135]
['61684', 135]
['61684', 136]
['61684', 136]
['61684', 137]
['61684', 137]
['61684', 138]
['61684', 138]
['61684', 139]
['61684', 139]
['61684', 140]
['61684', 140]
['61684', 141]
['61684', 141]
['61684', 142]
['61684', 142]
['61684', 143]
['61684', 143]
['61684', 144]
['61684', 144]
['61684', 145]
['61684', 145]
['61684', 146]
['61684', 146]
['61684', 147]
['61684', 147]
['61684', 148]
['61684', 148]
['61684', 149]
['61684', 149]
['61684', 150]
['61684', 150]
['61684', 151]
['61684', 151]
['61684', 152]
['61684', 152]
['61684', 153]
['61684', 153]
['61684', 154]
['61684', 154]
['61684', 155]
['61684', 155]
['61684', 156]
['61684', 156]
['61684', 157]
['61684', 157]
['61684', 158]
['61684', 158]
['61684', 159]
['61684', 159]
['61684', 160]
['61684', 160]
['61684', 161]
['61684', 161]
['61684', 162]
['61684', 162]
['61684', 163]
['61684', 163]
['61684', 164]
['61684', 164]
['61684', 165]
['61684', 165]
['61684', 166]
['61684', 166]
['61684', 167]
['61684', 167]
['61684', 168]
['61684', 168]
['61684', 169]
['61684', 169]
['61684', 170]
['61684', 170]
['61684', 171]
['61684', 171]
['61684', 172]
['61684', 172]
['61684', 173]
['61684', 173]
['61684', 174]
['61684', 174]
['61684', 175]
['61684', 175]
['61684', 176]
['61684', 176]
['61684', 177]
['61684', 177]
['61684', 178]
['61684', 178]
['61684', 179]
['61684', 179]
['61684', 180]
['61684', 180]
['61684', 181]
['61684', 181]
['61684', 182]
['61684', 182]
['61684', 183]
['61684', 183]
['61684', 184]
['61684', 184]
['61684', 185]
['61684', 185]
['61684', 186]
['61684', 186]
['61684', 187]
['61684', 187]
['61684', 188]
['61684', 188]
['61684', 189]
['61684', 189]
['61684', 189]
['61684', 190]
['61684', 191]
['61684', 191]
['61684', 192]
['61684', 192]
['61684', 193]
['61684', 193]
['61684', 194]
['61684', 194]
['61684', 195]
['61684', 195]
['61684', 196]
['61684', 196]
['61684', 197]
['61684', 197]
['61684', 198]
['61684', 198]
['61684', 199]
['61684', 199]
['61684', 200]
['61684', 200]
['61684', 201]
['61684', 201]
['61684', 202]
['61684', 202]
['61684', 203]
['61684', 203]
['61684', 204]
['61684', 204]
['61684', 205]
['61684', 205]
['61684', 206]
['61684', 206]
['61684', 207]
['61684', 207]
['61684', 208]
['61684', 208]
['61684', 209]
['61684', 209]
['61684', 210]
['61684', 210]
['61684', 211]
['61684', 211]
['61684', 212]
['61684', 212]
['61684', 213]
['61684', 213]
['61684', 214]
['61684', 214]
['61684', 215]
['61684', 215]
['61684', 216]
['61684', 216]
['61684', 217]
['61684', 217]
['61684', 218]
['61684', 218]
['61684', 219]
['61684', 219]
['61684', 220]
['61684', 220]
['61684', 221]
['61684', 221]
['61684', 222]
['61684', 222]
['61684', 223]
['61684', 223]
['61684', 224]
['61684', 224]
['61684', 225]
['61684', 225]
['61684', 226]
['61684', 226]
['61684', 227]
['61684', 227]
['61684', 228]
['61684', 228]
['61684', 229]
['61684', 229]
['61684', 230]
['61684', 230]
['61684', 231]
['61684', 231]
['61684', 232]
['61684', 232]
['61684', 233]
['61684', 233]
['61684', 233]
['61684', 234]
['61684', 235]
['61684', 235]
['61684', 236]
['61684', 236]
['61684', 237]
['61684', 237]
['61684', 238]
['61684', 238]
['61684', 239]
['61684', 239]
['61684', 240]
['61684', 240]
['61684', 241]
['61684', 241]
['61684', 242]
['61684', 242]
['61684', 243]
['61684', 243]
['61684', 244]
['61684', 244]
['61684', 245]
['61684', 245]
['61684', 246]
['61684', 246]
['61684', 247]
['61684', 247]
['61684', 248]
['61684', 248]
['61684', 249]
['61684', 249]
['61684', 250]
['61684', 250]
['61684', 251]
['61684', 251]
['61684', 252]
['61684', 252]
['61684', 253]
['61684', 253]
['61684', 254]
['61684', 254]
['61684', 255]
['61684', 255]
['61684', 256]
['61684', 256]
['61684', 257]
['61684', 257]
['61684', 258]
['61684', 258]
['61684', 259]
['61684', 259]
['61684', 260]
['61684', 260]
['61684', 261]
['61684', 261]
['61684', 262]
['61684', 262]
['61684', 263]
['61684', 263]
['61684', 264]
['61684', 264]
['61684', 265]
['61684', 265]
['61684', 266]
['61684', 266]
['61684', 267]
['61684', 267]
['61684', 268]
['61684', 268]
['61684', 269]
['61684', 269]
['61684', 270]
['61684', 270]
['61684', 271]
['61684', 271]
['61684', 272]
['61684', 272]
['61684', 273]
['61684', 273]
['61684', 274]
['61684', 274]
['61684', 275]
['61684', 275]
['61684', 276]
['61684', 276]
['61684', 277]
['61684', 277]
['61684', 278]
['61684', 278]
['61684', 279]
['61684', 279]
['61684', 280]
['61684', 280]
['61684', 281]
['61684', 281]
['61684', 282]
['61684', 282]
['61684', 283]
['61684', 283]
['61684', 284]
['61684', 284]
['61684', 285]
['61684', 285]
['61684', 286]
['61684', 286]
['61684', 287]
['61684', 287]
['61684', 288]
['61684', 288]
['61684', 289]
['61684', 289]
['61684', 290]
['61684', 290]
['61684', 291]
['61684', 291]
['61684', 292]
['61684', 292]
['61684', 293]
['61684', 293]
['61684', 294]
['61684', 294]
['61684', 295]
['61684', 295]
['61684', 296]
['61684', 296]
['61684', 297]
['61684', 297]
['61684', 298]
['61684', 298]
['61684', 299]
['61684', 299]
['61684', 300]
['61684', 300]
['61684', 301]
['61684', 301]
['61684', 302]
['61684', 302]
['61684', 303]
['61684', 303]
['61684', 304]
['61684', 304]
['61684', 305]
['61684', 305]
['61684', 306]
['61684', 306]
['61684', 307]
['61684', 307]
['61684', 308]
['61684', 308]
['61684', 309]
['61684', 309]
['61684', 310]
['61684', 310]
['61684', 311]
['61684', 311]
['61684', 312]
['61684', 312]
['61684', 313]
['61684', 313]
['61684', 314]
['61684', 314]
['61684', 315]
['61684', 315]
['61684', 316]
['61684', 316]
['61684', 317]
['61684', 317]
['61684', 318]
['61684', 318]
['61684', 319]
['61684', 319]
['61684', 320]
['61684', 320]
['61684', 321]
['61684', 321]
['61684', 322]
['61684', 322]
['61684', 323]
['61684', 323]
['61684', 324]
['61684', 324]
['61684', 325]
['61684', 325]
['61684', 326]
['61684', 326]
['61684', 327]
['61684', 327]
['61684', 328]
['61684', 328]
['61684', 329]
['61684', 329]
['61684', 330]
['61684', 330]
['61684', 331]
['61684', 331]
['61684', 332]
['61684', 332]
['61684', 333]
['61684', 333]
['61684', 334]
['61684', 334]
['61684', 335]
['61684', 335]
['61684', 336]
['61684', 336]
['61684', 337]
['61684', 337]
['61684', 338]
['61684', 338]
['61684', 339]
['61684', 339]
['61684', 340]
['61684', 340]
['61684', 341]
['61684', 341]
['61684', 342]
['61684', 342]
['61684', 343]
['61684', 343]
['61684', 344]
['61684', 344]
['61684', 345]
['61684', 345]
['61684', 346]
['61684', 346]
['61684', 347]
['61684', 347]
['61684', 348]
['61684', 348]
['61684', 349]
['61684', 349]
['61684', 350]
['61684', 350]
['61684', 351]
['61684', 351]
['61684', 352]
['61684', 352]
['61684', 353]
['61684', 353]
['61684', 354]
['61684', 354]
['61684', 355]
['61684', 355]
['61684', 356]
['61684', 356]
['61684', 357]
['61684', 357]
['61684', 358]
['61684', 358]
['61684', 359]
['61684', 359]
['61684', 360]
['61684', 360]
['61684', 361]
['61684', 361]
['61684', 362]
['61684', 362]
['61684', 363]
['61684', 363]
['61684', 364]
['61684', 364]
['61684', 365]
['61684', 365]
['61684', 366]
['61684', 366]
['61684', 367]
